price,date,min,max,median
$344.77 ,20210509-1428,,,
$344.77 ,20210509-1428,,,
$344.77 ,20210509-1428,,,
$345.51 ,20210509-1428,,,
$345.63 ,20210509-1428,,,
$345.67 ,20210509-1428,,,
$345.69 ,20210509-1428,,,
$345.74 ,20210509-1428,,,
$345.77 ,20210509-1428,,,
$350.58 ,20210509-1428,,,
$362.24 ,20210509-1428,,,
$368.12 ,20210509-1428,,,
$378.29 ,20210509-1428,,,
$380.51 ,20210509-1428,,,
$381.15 ,20210509-1428,,,
$382.81 ,20210509-1428,,,
$383.82 ,20210509-1428,,,
$384.39 ,20210509-1428,,,
$391.49 ,20210509-1428,,,
$391.54 ,20210509-1428,,,
$394.57 ,20210509-1428,,,
$397.62 ,20210509-1428,,,
$400.27 ,20210509-1428,,,
$404.91 ,20210509-1428,,,
$359.74 ,20210509-1103,,,
$360.29 ,20210509-1103,,,
$364.67 ,20210509-1103,,,
$377.07 ,20210509-1103,,,
$378.74 ,20210509-1103,,,
$380.62 ,20210509-1103,,,
$380.89 ,20210509-1103,,,
$381.74 ,20210509-1103,,,
$384.93 ,20210509-1103,,,
$389.87 ,20210509-1103,,,
$392.61 ,20210509-1103,,,
$392.98 ,20210509-1103,,,
$396.11 ,20210509-1103,,,
$399.68 ,20210509-1103,,,
$404.17 ,20210509-1103,,,
$405.86 ,20210509-1103,,,
$406.69 ,20210509-1103,,,
$444.40 ,20210509-1103,,,
$452.29 ,20210509-1103,,,
$457.51 ,20210509-1103,,,
$461.91 ,20210509-1103,,,
$461.91 ,20210509-1103,,,
$464.56 ,20210509-1103,,,
$470.76 ,20210509-1103,,,
$343.63 ,20210509-1446,,,
$343.63 ,20210509-1446,,,
$343.63 ,20210509-1446,,,
$343.67 ,20210509-1446,,,
$343.79 ,20210509-1446,,,
$343.83 ,20210509-1446,,,
$343.85 ,20210509-1446,,,
$343.90 ,20210509-1446,,,
$343.93 ,20210509-1446,,,
$348.49 ,20210509-1446,,,
$360.68 ,20210509-1446,,,
